,date,ticker,document,Industry
0,4/29/21,AAPL,"{'usage': {'text_units': 1, 'text_characters': 5851, 'features': 2}, 'sentiment': {'document': {'score': -0.853331, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.571522, 'joy': 0.085712, 'fear': 0.170525, 'disgust': 0.029309, 'anger': 0.095593}}}}",Tech
1,7/31/20,AAPL,"{'usage': {'text_units': 1, 'text_characters': 5593, 'features': 2}, 'sentiment': {'document': {'score': -0.991665, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.620695, 'joy': 0.041666, 'fear': 0.186573, 'disgust': 0.029744, 'anger': 0.09331}}}}",Tech
2,5/1/20,AAPL,"{'usage': {'text_units': 1, 'text_characters': 7283, 'features': 2}, 'sentiment': {'document': {'score': -0.733907, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.685394, 'joy': 0.054257, 'fear': 0.124109, 'disgust': 0.034296, 'anger': 0.114164}}}}",Tech
3,7/31/19,AAPL,"{'usage': {'text_units': 2, 'text_characters': 14330, 'features': 2}, 'sentiment': {'document': {'score': -0.965563, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.876346, 'joy': 0.002704, 'fear': 0.160042, 'disgust': 0.066097, 'anger': 0.134327}}}}",Tech
4,5/1/19,AAPL,"{'usage': {'text_units': 2, 'text_characters': 15593, 'features': 2}, 'sentiment': {'document': {'score': -0.733907, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.876969, 'joy': 0.002659, 'fear': 0.163147, 'disgust': 0.066599, 'anger': 0.129184}}}}",Tech
5,1/30/19,AAPL,"{'usage': {'text_units': 2, 'text_characters': 14137, 'features': 2}, 'sentiment': {'document': {'score': -0.989518, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.867807, 'joy': 0.003151, 'fear': 0.167546, 'disgust': 0.064702, 'anger': 0.142119}}}}",Tech
6,8/1/18,AAPL,"{'usage': {'text_units': 2, 'text_characters': 14635, 'features': 2}, 'sentiment': {'document': {'score': -0.988817, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.865978, 'joy': 0.004509, 'fear': 0.18241, 'disgust': 0.058933, 'anger': 0.126982}}}}",Tech
7,5/2/18,AAPL,"{'usage': {'text_units': 2, 'text_characters': 14564, 'features': 2}, 'sentiment': {'document': {'score': -0.967848, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.848584, 'joy': 0.007707, 'fear': 0.198619, 'disgust': 0.058714, 'anger': 0.12154}}}}",Tech
8,1/29/20,AAPL,"{'usage': {'text_units': 1, 'text_characters': 5207, 'features': 2}, 'sentiment': {'document': {'score': -0.986224, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.616957, 'joy': 0.055932, 'fear': 0.18986, 'disgust': 0.035464, 'anger': 0.117867}}}}",Tech
9,1/28/21,AAPL,"{'usage': {'text_units': 1, 'text_characters': 5128, 'features': 2}, 'sentiment': {'document': {'score': -0.980403, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.597994, 'joy': 0.070628, 'fear': 0.17231, 'disgust': 0.03117, 'anger': 0.12529}}}}",Tech
10,4/27/21,MSFT,"{'usage': {'text_units': 2, 'text_characters': 19465, 'features': 2}, 'sentiment': {'document': {'score': 0, 'label': 'neutral'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.719739, 'joy': 0.005973, 'fear': 0.306799, 'disgust': 0.111275, 'anger': 0.17208}}}}",Tech
11,1/26/21,MSFT,"{'usage': {'text_units': 2, 'text_characters': 17548, 'features': 2}, 'sentiment': {'document': {'score': 0.746606, 'label': 'positive'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.729756, 'joy': 0.005577, 'fear': 0.286934, 'disgust': 0.106409, 'anger': 0.186567}}}}",Tech
12,10/27/20,MSFT,"{'usage': {'text_units': 2, 'text_characters': 16509, 'features': 2}, 'sentiment': {'document': {'score': 0.488115, 'label': 'positive'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.726939, 'joy': 0.005042, 'fear': 0.287238, 'disgust': 0.107749, 'anger': 0.190026}}}}",Tech
13,1/29/20,MSFT,"{'usage': {'text_units': 2, 'text_characters': 16499, 'features': 2}, 'sentiment': {'document': {'score': -0.938229, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.688712, 'joy': 0.004542, 'fear': 0.298475, 'disgust': 0.125708, 'anger': 0.213779}}}}",Tech
14,10/23/19,MSFT,"{'usage': {'text_units': 2, 'text_characters': 15531, 'features': 2}, 'sentiment': {'document': {'score': -0.849921, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.694245, 'joy': 0.004511, 'fear': 0.293803, 'disgust': 0.11706, 'anger': 0.221006}}}}",Tech
15,1/30/19,MSFT,"{'usage': {'text_units': 2, 'text_characters': 17039, 'features': 2}, 'sentiment': {'document': {'score': -0.98749, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.666529, 'joy': 0.007285, 'fear': 0.302132, 'disgust': 0.138384, 'anger': 0.219667}}}}",Tech
16,4/26/18,MSFT,"{'usage': {'text_units': 2, 'text_characters': 18794, 'features': 2}, 'sentiment': {'document': {'score': 0, 'label': 'neutral'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.658238, 'joy': 0.009441, 'fear': 0.340574, 'disgust': 0.123923, 'anger': 0.19304}}}}",Tech
17,10/24/18,MSFT,"{'usage': {'text_units': 2, 'text_characters': 16129, 'features': 2}, 'sentiment': {'document': {'score': -0.96301, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.667409, 'joy': 0.005767, 'fear': 0.305907, 'disgust': 0.136796, 'anger': 0.219461}}}}",Tech
18,4/29/20,MSFT,"{'usage': {'text_units': 2, 'text_characters': 18160, 'features': 2}, 'sentiment': {'document': {'score': 0, 'label': 'neutral'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.694315, 'joy': 0.004411, 'fear': 0.296578, 'disgust': 0.121418, 'anger': 0.213558}}}}",Tech
19,4/24/19,MSFT,"{'usage': {'text_units': 2, 'text_characters': 18097, 'features': 2}, 'sentiment': {'document': {'score': 0, 'label': 'neutral'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.664854, 'joy': 0.006696, 'fear': 0.305344, 'disgust': 0.141368, 'anger': 0.216371}}}}",Tech
20,4/30/21,AMZN,"{'usage': {'text_units': 2, 'text_characters': 13978, 'features': 2}, 'sentiment': {'document': {'score': -0.835189, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.835924, 'joy': 0.003735, 'fear': 0.197929, 'disgust': 0.074173, 'anger': 0.140059}}}}",Tech
21,10/30/20,AMZN,"{'usage': {'text_units': 2, 'text_characters': 13759, 'features': 2}, 'sentiment': {'document': {'score': -0.698376, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.834312, 'joy': 0.003643, 'fear': 0.188667, 'disgust': 0.072843, 'anger': 0.153347}}}}",Tech
22,7/31/20,AMZN,"{'usage': {'text_units': 2, 'text_characters': 14550, 'features': 2}, 'sentiment': {'document': {'score': -0.698376, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.817145, 'joy': 0.003155, 'fear': 0.186622, 'disgust': 0.078257, 'anger': 0.184224}}}}",Tech
23,5/1/20,AMZN,"{'usage': {'text_units': 2, 'text_characters': 15011, 'features': 2}, 'sentiment': {'document': {'score': -0.634134, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.804161, 'joy': 0.002563, 'fear': 0.219567, 'disgust': 0.077316, 'anger': 0.171567}}}}",Tech
24,10/25/19,AMZN,"{'usage': {'text_units': 2, 'text_characters': 13375, 'features': 2}, 'sentiment': {'document': {'score': -0.818233, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.830462, 'joy': 0.003236, 'fear': 0.220285, 'disgust': 0.072599, 'anger': 0.129011}}}}",Tech
25,7/26/19,AMZN,"{'usage': {'text_units': 2, 'text_characters': 13780, 'features': 2}, 'sentiment': {'document': {'score': -0.818233, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.814171, 'joy': 0.002403, 'fear': 0.179519, 'disgust': 0.081774, 'anger': 0.194589}}}}",Tech
26,4/26/19,AMZN,"{'usage': {'text_units': 2, 'text_characters': 14582, 'features': 2}, 'sentiment': {'document': {'score': 0, 'label': 'neutral'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.7988, 'joy': 0.002696, 'fear': 0.156711, 'disgust': 0.089002, 'anger': 0.23251}}}}",Tech
27,10/26/18,AMZN,"{'usage': {'text_units': 2, 'text_characters': 14005, 'features': 2}, 'sentiment': {'document': {'score': -0.817018, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.812803, 'joy': 0.004649, 'fear': 0.236994, 'disgust': 0.075966, 'anger': 0.125314}}}}",Tech
28,7/27/18,AMZN,"{'usage': {'text_units': 2, 'text_characters': 14513, 'features': 2}, 'sentiment': {'document': {'score': 0, 'label': 'neutral'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.802075, 'joy': 0.003351, 'fear': 0.190053, 'disgust': 0.085392, 'anger': 0.192444}}}}",Tech
29,4/27/18,AMZN,"{'usage': {'text_units': 2, 'text_characters': 14900, 'features': 2}, 'sentiment': {'document': {'score': 0, 'label': 'neutral'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.810754, 'joy': 0.003998, 'fear': 0.195052, 'disgust': 0.090378, 'anger': 0.167237}}}}",Tech
30,7/31/20,GOOGL,"{'usage': {'text_units': 3, 'text_characters': 20887, 'features': 2}, 'sentiment': {'document': {'score': 0, 'label': 'neutral'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.846407, 'joy': 0.001659, 'fear': 0.204495, 'disgust': 0.081728, 'anger': 0.132363}}}}",Tech
31,4/29/20,GOOGL,"{'usage': {'text_units': 3, 'text_characters': 21225, 'features': 2}, 'sentiment': {'document': {'score': 0, 'label': 'neutral'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.842556, 'joy': 0.00194, 'fear': 0.219511, 'disgust': 0.079457, 'anger': 0.123988}}}}",Tech
32,10/29/19,GOOGL,"{'usage': {'text_units': 1, 'text_characters': 7757, 'features': 2}, 'sentiment': {'document': {'score': -0.615655, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.56521, 'joy': 0.041086, 'fear': 0.213782, 'disgust': 0.113573, 'anger': 0.163972}}}}",Tech
33,7/26/19,GOOGL,"{'usage': {'text_units': 1, 'text_characters': 7570, 'features': 2}, 'sentiment': {'document': {'score': -0.615655, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.520844, 'joy': 0.042699, 'fear': 0.237342, 'disgust': 0.104566, 'anger': 0.141868}}}}",Tech
34,4/30/19,GOOGL,"{'usage': {'text_units': 1, 'text_characters': 7817, 'features': 2}, 'sentiment': {'document': {'score': 0, 'label': 'neutral'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.490792, 'joy': 0.050253, 'fear': 0.247419, 'disgust': 0.109859, 'anger': 0.125837}}}}",Tech
35,10/26/18,GOOGL,"{'usage': {'text_units': 1, 'text_characters': 8094, 'features': 2}, 'sentiment': {'document': {'score': -0.619343, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.449898, 'joy': 0.052916, 'fear': 0.218854, 'disgust': 0.089984, 'anger': 0.136772}}}}",Tech
36,7/24/18,GOOGL,"{'usage': {'text_units': 1, 'text_characters': 8087, 'features': 2}, 'sentiment': {'document': {'score': -0.619343, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.444046, 'joy': 0.056797, 'fear': 0.233579, 'disgust': 0.086604, 'anger': 0.127077}}}}",Tech
37,4/28/21,GOOGL,"{'usage': {'text_units': 1, 'text_characters': 8757, 'features': 2}, 'sentiment': {'document': {'score': 0, 'label': 'neutral'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.487276, 'joy': 0.103753, 'fear': 0.148986, 'disgust': 0.111592, 'anger': 0.251955}}}}",Tech
38,10/30/20,GOOGL,"{'usage': {'text_units': 3, 'text_characters': 21262, 'features': 2}, 'sentiment': {'document': {'score': 0, 'label': 'neutral'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.836065, 'joy': 0.001683, 'fear': 0.208299, 'disgust': 0.082976, 'anger': 0.14396}}}}",Tech
39,4/24/18,GOOGL,"{'usage': {'text_units': 1, 'text_characters': 8164, 'features': 2}, 'sentiment': {'document': {'score': 0, 'label': 'neutral'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.489614, 'joy': 0.056911, 'fear': 0.209169, 'disgust': 0.07802, 'anger': 0.120636}}}}",Tech
40,4/29/21,FB,"{'usage': {'text_units': 4, 'text_characters': 33913, 'features': 2}, 'sentiment': {'document': {'score': -0.380495, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.825968, 'joy': 0.002693, 'fear': 0.14323, 'disgust': 0.08671, 'anger': 0.219685}}}}",Tech
41,10/30/20,FB,"{'usage': {'text_units': 4, 'text_characters': 32614, 'features': 2}, 'sentiment': {'document': {'score': -0.557363, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.833904, 'joy': 0.002646, 'fear': 0.161182, 'disgust': 0.082038, 'anger': 0.194505}}}}",Tech
42,7/31/20,FB,"{'usage': {'text_units': 4, 'text_characters': 30850, 'features': 2}, 'sentiment': {'document': {'score': -0.557363, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.815053, 'joy': 0.002677, 'fear': 0.187001, 'disgust': 0.080983, 'anger': 0.197511}}}}",Tech
43,4/30/20,FB,"{'usage': {'text_units': 4, 'text_characters': 31010, 'features': 2}, 'sentiment': {'document': {'score': -0.511983, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.821129, 'joy': 0.002684, 'fear': 0.1802, 'disgust': 0.081318, 'anger': 0.195174}}}}",Tech
44,10/31/19,FB,"{'usage': {'text_units': 3, 'text_characters': 26094, 'features': 2}, 'sentiment': {'document': {'score': -0.516998, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.804134, 'joy': 0.004088, 'fear': 0.229849, 'disgust': 0.077386, 'anger': 0.168063}}}}",Tech
45,4/25/19,FB,"{'usage': {'text_units': 3, 'text_characters': 22965, 'features': 2}, 'sentiment': {'document': {'score': 0, 'label': 'neutral'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.823369, 'joy': 0.005252, 'fear': 0.216649, 'disgust': 0.076472, 'anger': 0.150057}}}}",Tech
46,10/31/18,FB,"{'usage': {'text_units': 3, 'text_characters': 22637, 'features': 2}, 'sentiment': {'document': {'score': -0.391208, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.826447, 'joy': 0.00567, 'fear': 0.212077, 'disgust': 0.074531, 'anger': 0.150876}}}}",Tech
47,7/26/18,FB,"{'usage': {'text_units': 3, 'text_characters': 21920, 'features': 2}, 'sentiment': {'document': {'score': -0.391208, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.830187, 'joy': 0.006597, 'fear': 0.237794, 'disgust': 0.06683, 'anger': 0.120257}}}}",Tech
48,4/26/18,FB,"{'usage': {'text_units': 3, 'text_characters': 22738, 'features': 2}, 'sentiment': {'document': {'score': 0, 'label': 'neutral'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.842806, 'joy': 0.006297, 'fear': 0.211191, 'disgust': 0.069327, 'anger': 0.128149}}}}",Tech
49,7/25/19,FB,"{'usage': {'text_units': 3, 'text_characters': 24707, 'features': 2}, 'sentiment': {'document': {'score': -0.516998, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.82123, 'joy': 0.004002, 'fear': 0.224438, 'disgust': 0.075379, 'anger': 0.148224}}}}",Tech
50,11/5/20,CVX,"{'usage': {'text_units': 2, 'text_characters': 11294, 'features': 2}, 'sentiment': {'document': {'score': -0.760466, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.774352, 'joy': 0.002486, 'fear': 0.27085, 'disgust': 0.099826, 'anger': 0.143758}}}}",Energy
51,8/5/20,CVX,"{'usage': {'text_units': 2, 'text_characters': 13090, 'features': 2}, 'sentiment': {'document': {'score': -0.760466, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.729944, 'joy': 0.001769, 'fear': 0.262295, 'disgust': 0.102756, 'anger': 0.221138}}}}",Energy
52,5/6/20,CVX,"{'usage': {'text_units': 2, 'text_characters': 11194, 'features': 2}, 'sentiment': {'document': {'score': 0.360871, 'label': 'positive'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.759337, 'joy': 0.001448, 'fear': 0.252491, 'disgust': 0.105008, 'anger': 0.184577}}}}",Energy
53,11/7/19,CVX,"{'usage': {'text_units': 2, 'text_characters': 10795, 'features': 2}, 'sentiment': {'document': {'score': -0.875717, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.77872, 'joy': 0.002504, 'fear': 0.186587, 'disgust': 0.114801, 'anger': 0.206449}}}}",Energy
54,8/7/19,CVX,"{'usage': {'text_units': 2, 'text_characters': 10673, 'features': 2}, 'sentiment': {'document': {'score': -0.875717, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.7766, 'joy': 0.002191, 'fear': 0.174307, 'disgust': 0.114203, 'anger': 0.222485}}}}",Energy
55,5/2/19,CVX,"{'usage': {'text_units': 2, 'text_characters': 11155, 'features': 2}, 'sentiment': {'document': {'score': -0.768578, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.767865, 'joy': 0.003511, 'fear': 0.168449, 'disgust': 0.12625, 'anger': 0.224319}}}}",Energy
56,11/8/18,CVX,"{'usage': {'text_units': 2, 'text_characters': 11920, 'features': 2}, 'sentiment': {'document': {'score': -0.898878, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.717704, 'joy': 0.001747, 'fear': 0.133616, 'disgust': 0.154209, 'anger': 0.300662}}}}",Energy
57,8/2/18,CVX,"{'usage': {'text_units': 2, 'text_characters': 11084, 'features': 2}, 'sentiment': {'document': {'score': -0.898878, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.721255, 'joy': 0.002304, 'fear': 0.164993, 'disgust': 0.139532, 'anger': 0.276108}}}}",Energy
58,5/3/18,CVX,"{'usage': {'text_units': 2, 'text_characters': 11143, 'features': 2}, 'sentiment': {'document': {'score': -0.760796, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.722173, 'joy': 0.001678, 'fear': 0.13, 'disgust': 0.136352, 'anger': 0.314241}}}}",Energy
59,11/12/99,RDS.A,"{'usage': {'text_units': 1, 'text_characters': 2860, 'features': 2}, 'sentiment': {'document': {'score': -0.807939, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.863128, 'joy': 0.02292, 'fear': 0.135235, 'disgust': 0.062455, 'anger': 0.049989}}}}",Energy
60,8/5/99,RDS.A,"{'usage': {'text_units': 1, 'text_characters': 2794, 'features': 2}, 'sentiment': {'document': {'score': -0.97616, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.82737, 'joy': 0.020915, 'fear': 0.136701, 'disgust': 0.057871, 'anger': 0.057236}}}}",Energy
61,5/7/99,RDS.A,"{'usage': {'text_units': 1, 'text_characters': 2451, 'features': 2}, 'sentiment': {'document': {'score': -0.93521, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.706371, 'joy': 0.051623, 'fear': 0.176503, 'disgust': 0.0541, 'anger': 0.04768}}}}",Energy
62,11/12/98,RDS.A,"{'usage': {'text_units': 1, 'text_characters': 2783, 'features': 2}, 'sentiment': {'document': {'score': 0, 'label': 'neutral'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.568593, 'joy': 0.066416, 'fear': 0.260834, 'disgust': 0.056288, 'anger': 0.071247}}}}",Energy
63,5/8/98,RDS.A,"{'usage': {'text_units': 1, 'text_characters': 1681, 'features': 2}, 'sentiment': {'document': {'score': -0.6695, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.642336, 'joy': 0.03033, 'fear': 0.129567, 'disgust': 0.120091, 'anger': 0.115763}}}}",Energy
64,11/5/97,RDS.A,"{'usage': {'text_units': 1, 'text_characters': 1844, 'features': 2}, 'sentiment': {'document': {'score': -0.907506, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.749103, 'joy': 0.009245, 'fear': 0.091953, 'disgust': 0.173304, 'anger': 0.126018}}}}",Energy
65,8/1/97,RDS.A,"{'usage': {'text_units': 1, 'text_characters': 1770, 'features': 2}, 'sentiment': {'document': {'score': -0.907506, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.68562, 'joy': 0.007247, 'fear': 0.098597, 'disgust': 0.181443, 'anger': 0.126246}}}}",Energy
66,5/1/97,RDS.A,"{'usage': {'text_units': 1, 'text_characters': 1812, 'features': 2}, 'sentiment': {'document': {'score': -0.895975, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.780531, 'joy': 0.006517, 'fear': 0.106696, 'disgust': 0.180405, 'anger': 0.119175}}}}",Energy
67,10/31/96,RDS.A,"{'usage': {'text_units': 1, 'text_characters': 2048, 'features': 2}, 'sentiment': {'document': {'score': -0.799738, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.79187, 'joy': 0.005986, 'fear': 0.120422, 'disgust': 0.116158, 'anger': 0.132728}}}}",Energy
68,7/30/98,RDS.A,"{'usage': {'text_units': 1, 'text_characters': 1510, 'features': 2}, 'sentiment': {'document': {'score': -0.820673, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.42129, 'joy': 0.021252, 'fear': 0.154282, 'disgust': 0.123574, 'anger': 0.10989}}}}",Energy
69,10/28/20,FSLR,"{'usage': {'text_units': 2, 'text_characters': 16447, 'features': 2}, 'sentiment': {'document': {'score': -0.997566, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.792923, 'joy': 0.017075, 'fear': 0.214259, 'disgust': 0.062577, 'anger': 0.166074}}}}",Energy
70,8/7/20,FSLR,"{'usage': {'text_units': 2, 'text_characters': 15903, 'features': 2}, 'sentiment': {'document': {'score': -0.994649, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.812766, 'joy': 0.019167, 'fear': 0.168768, 'disgust': 0.056783, 'anger': 0.181025}}}}",Energy
71,5/8/20,FSLR,"{'usage': {'text_units': 2, 'text_characters': 16114, 'features': 2}, 'sentiment': {'document': {'score': -0.88342, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.803445, 'joy': 0.01458, 'fear': 0.159942, 'disgust': 0.064836, 'anger': 0.194992}}}}",Energy
72,8/2/19,FSLR,"{'usage': {'text_units': 2, 'text_characters': 13225, 'features': 2}, 'sentiment': {'document': {'score': -0.999426, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.824266, 'joy': 0.030934, 'fear': 0.115967, 'disgust': 0.06716, 'anger': 0.150292}}}}",Energy
73,5/3/19,FSLR,"{'usage': {'text_units': 2, 'text_characters': 13099, 'features': 2}, 'sentiment': {'document': {'score': -0.973888, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.801477, 'joy': 0.039838, 'fear': 0.102731, 'disgust': 0.064066, 'anger': 0.148096}}}}",Energy
74,10/26/18,FSLR,"{'usage': {'text_units': 2, 'text_characters': 14757, 'features': 2}, 'sentiment': {'document': {'score': -0.927168, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.723988, 'joy': 0.041854, 'fear': 0.118931, 'disgust': 0.087073, 'anger': 0.209781}}}}",Energy
75,7/27/18,FSLR,"{'usage': {'text_units': 2, 'text_characters': 15258, 'features': 2}, 'sentiment': {'document': {'score': -0.994045, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.771813, 'joy': 0.047384, 'fear': 0.111293, 'disgust': 0.072187, 'anger': 0.166865}}}}",Energy
